,,,Colonna45,Colonna43,Colonna41,Colonna40,#,Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
,,,,,,,743,Ribombee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,744,Rockruff,Rock Throw,Tackle,Crunch,Stone Edge,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,745,Lycanroc,Rock Throw,Sucker Punch,Crunch,Drill Run,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,745,Lycanroc-Dusk,Rock Throw,Sucker Punch,Crunch,Drill Run,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,745,Lycanroc-Midnight,Counter,Rock Throw,Crunch,Psychic Fangs,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,746,Wishiwashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,746,Wishiwashi-School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,747,Mareanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,748,Toxapex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,749,Mudbray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,750,Mudsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,751,Dewpider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,752,Araquanid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,753,Fomantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,754,Lurantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,755,Morelull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,756,Shiinotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,757,Salandit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,758,Salazzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,759,Stufful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,760,Bewear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,761,Bounsweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,762,Steenee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,763,Tsareena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,764,Comfey,Hidden Power,Vine Whip,Draining Kiss,Grass Knot,Petal Blizzard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,765,Oranguru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,766,Passimian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,767,Wimpod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,768,Golisopod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,769,Sandygast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,770,Palossand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,771,Pyukumuku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,772,Type: Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Fairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Fighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Ghost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,773,Silvally-Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,774,Minior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,774,Minior-Meteor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,775,Komala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,776,Turtonator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,777,Togedemaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,778,Mimikyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,779,Bruxish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,780,Drampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,781,Dhelmise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,782,Jangmo-o,Dragon Tail,Tackle,Brick Break,Dragon Claw,Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,783,Hakamo-o,Dragon Tail,Tackle,Brick Break,Dragon Claw,Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,784,Kommo-o,Dragon Tail,Poison Jab,Close Combat,Dragon Claw,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,785,Tapu Koko,Quick Attack,Volt Switch,Brave Bird,Dazzling Gleam,Thunder,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,786,Tapu Lele,Astonish,Confusion,Focus Blast,Future Sight,Moonblast,Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,787,Tapu Bulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,788,Tapu Fini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,789,Cosmog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,790,Cosmoem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,791,Solgaleo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,792,Lunala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,793,Nihilego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,794,Buzzwole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,795,Pheromosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,796,Xurkitree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,797,Celesteela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,798,Kartana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,799,Guzzlord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,800,Necrozma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,800,Necrozma-Dawn Wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,800,Necrozma-Dusk Mane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,800,Necrozma-Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,801,Magearna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,802,Marshadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,803,Poipole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,804,Naganadel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,805,Stakataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,806,Blacephalon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,807,Zeraora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
